,Data,LDA_topic,LDA_topic_tfidf
117,how to activate my data booster,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
118,how to activate my mobile,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
119,how to activate my net pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
120,how to activate my new plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
121,how to activate my phone,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
122,how to activate my prepaid number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
123,how to activate my recharge account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
124,how to activate my second recharge,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
125,how to activate my suspended sim,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
126,how to activate my voice service,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
127,how to activate my vouchers,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
128,how to activate my vouchers and afterwards what to do,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
129,how to activate my vouchers in my phone,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
130,how to activate my whatsapp,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
131,how to activate myidea celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
132,how to activate myidea celebration package,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
133,how to activate myidea celebrations pack of 2gb,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
134,how to activate myidea no,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
135,how to activate myideaid,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
