,Data,LDA_topic,LDA_topic_tfidf
136,how to activate myideaplan,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
137,how to activate myideasim,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
138,how to activate mystikal alert,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
139,how to activate mystikal on earth,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
140,how to activate net pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
141,how to activate new ideasim in idea to phone,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
142,how to activate new sim in ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
143,how to activate offer on real me 2,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
144,how to activate outgoing,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
145,how to activate plan for 7 days free call and internet,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
146,how to activate poco f1 offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
147,how to activate reading,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
148,how to activate recharge in idea,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
149,how to activate recharge my number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
150,how to activate rechrge,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
151,how to activate redeem,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
152,how to activate sim ideasim,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
153,how to activate skyojna,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
154,how to activate special celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
155,how to activate thank you offer,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
156,how to activate the boost pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
157,how to activate the data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
158,how to activate the data booster,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
159,how to activate the daughter booster plan,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
160,how to activate the gift sent by you please,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
161,how to activate the idea celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
162,how to activate the idea idea celebration,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
163,how to activate the idea voice call 4g,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
164,how to activate the voice call service,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
165,how to activate this,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
166,how to activate this data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
167,how to activate volte e,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
168,how to activate volte in huawei p20 lite,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
169,how to activate voucher,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
170,how to activate yhe suspended sim,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
171,how to activated queued data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
172,how to activation free internet data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
173,how to activation in idea celebration offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
174,how to activation internet extra,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
175,how to activation of myideanet pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
176,how to active,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
177,how to active 1 gb data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
178,how to active 10 gb free data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
179,how to active callertone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
180,how to active free data pack,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
181,how to active free net on idea by cadbury dairy milk,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
182,how to active in the voice call service,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
183,how to active international roaming pack,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
184,how to active idea,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
185,how to active idea celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
186,how to active idea data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
187,how to active idea pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
188,how to active idea selbration offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
189,how to active idea tune,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
190,how to active ideatune,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
191,how to active missed call alart,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
192,how to active myidea plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
193,how to active new plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
194,how to active offer in idea,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
195,how to active plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
196,how to active volt,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
197,how to add,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
198,how to add 15 gb extra data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
199,how to add 15 gb extra data free,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
200,how to add 5 gb additional data,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
201,how to add a loan,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
202,how to add add money,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
203,how to add add money from paytm,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
204,how to add additional data,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
205,how to add addotional data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
206,how to add alternate number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
207,how to add and meiosis,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
208,how to add another number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
209,how to add booster pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
210,how to add booster pack on your data,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
211,how to add conference call,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
212,how to add dairy milk chocolate brown,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
213,how to add data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
214,how to add data in idea,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
215,how to add data my recharge has been done,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
216,how to add edit the selected song,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
217,how to add extra free plans in myidea account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
218,how to add extra gb on today is pack,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
219,how to add free internet,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
220,how to add idea celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
221,how to add idea tune,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
222,how to add idea tune if the idea set idea tune option option is,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
223,how to add ideamoney,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
224,how to add may ideanumber,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
225,how to add money,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
226,how to add money in ideaapp,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
227,how to add money in ideaapp and recharge ideanet pack and get special offers on first prime membership,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
228,how to add money on idea,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
229,how to add more data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
230,how to add more postpaid data,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
231,how to add my,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
232,how to add my 5gb data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
233,how to add my profile picture,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
234,how to add on,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
235,how to add on 10gb data free,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
236,how to add on data booster pack,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
237,how to add on my vouchers,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
238,how to add on pack on idea plan,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
239,how to add page,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
240,how to add the extra data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
241,how to add the my download speed increased,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
242,how to add this number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
243,how to add video call,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
